sort,no,rus,eng,sem,opt,n/v,СС_no,def_RU,def_EN,cx_RU,cx_EN,KK,Jena200,GLD110,status,lexnotes
954,953,ДОЛГО,FOR A LONG TIME,14,,n,418,(О событии) Совершаясь в течение длительного интервала времени.,(Of an event) Occuring during a long time interval.,1. Он долго работал и пришёл домой поздно. 2. Он долго жил в другом городе.,1. He worked for a long time and came home late. 2. He lived in another town for a long time.,0,0,0,final,
955,954,"ДЕНЬ, СВЕТЛОЕ ВРЕМЯ СУТОК",DAY (DAYTIME),14,,n,1225,"Самое общее слово для светлого времени суток, в противовес ночи. Антоним слова НОЧЬ. Избегать слов для понятия ДЕНЬ, СУТКИ. (CoBL)",Most generic term for the light period in contrast to night. Antonym of “night”. Avoid terms referring to the “24-hour period”. (CoBL),"1. Ночь сменяет день. (GLD) 2. Сейчас день, надо работать.","1. Night comes after the day. 2. It is daytime now, we must work.",452,27,0,final,
956,955,"ДЕНЬ, СУТКИ",DAY (DURATION),14,,n,1260,"Период времени, длящийся 24 часа. (Concepticon)",A period of time lasting 24 hours. (Concepticon),"1. В неделе семь дней. 2. Сутки состоят из утра, дня, вечера и ночи.","1. There are three days in a week. 2. A day consists of morning, daytime, evening, and night.",0,0,0,final,
957,956,НОЧЬ,NIGHT,14,,n,1233,"Ночь как время суток без солнечного света, противопоставленное ‘дню’. Отличать от адвербиального употребления (ночью) в том случае, если соответствующие формы представлены другим корнем. (GLD)","‘Night’ as the time period devoid of sunshine, opposed to ‘day’. Not to be confused with adverbial temporal usage (‘by night’, ‘nightly’), if such forms are represented by a different root. (GLD)","1. Ночь сменяет день. (GLD) 2. Ночь светла, когда светит луна. (GLD)",1. Night comes after the day. (GLD) 2. The night is bright when the moon is shining. (GLD),453,111,62,final,
958,957,УТРО,MORNING,14,,n,1339,Период времени в 2–3 часа после рассвета.,The period of time 2–3 hours after sunrise.,1. Утром кричат петухи. 2. Утром надо доить корову.,1. Roosters crow in the morning. 2. The cow must be milked in the morning.,454,0,0,final,
959,958,ПОЛДЕНЬ,NOON,14,,n,2490,"Время суток приблизительно посередине между рассветом и закатом; время, когда солнце находится в зените.",The time of day approximately in the middle between sunrise and sunset; the time when the sun is in zenith.,В полдень обедают.,People have lunch at noon.,0,0,0,check,
960,959,ВЕЧЕР,EVENING,14,,n,1629,"Время суток без видимого солнечного света, но до наступления полной темноты.","The time of day without directly visible sunlight, but before complete darkness.",1. Вечером стадо возвращается в деревню. 2. Вечером люди возвращаются с работы и ужинают.,1. In the evening the herd returns to the village. 2. In the evening people come back home and have dinner.,0,0,0,final,
961,960,СЕГОДНЯ,TODAY,14,,n,1283,В течение настоящих суток.,During the current day.,"1. Вчера был дождь, сегодня солнце. 2. Сегодня я покошу всё поле. 3. Сегодня понедельник, завтра вторник, а послезавтра будет среда.","1. It was raining yesterday, today it is sunny. 2. I will mow all the field today. 3. It is Monday today, tomorrow it will be Tuesday, and the day after tomorrow it will be Wednesday.",499,0,0,final,
962,961,ЗАВТРА,TOMORROW,14,,n,1329,"День, следующий за настоящим днём.",The day that follows the current day.,"1. Сегодня я буду работать, завтра — отдыхать. 2. Сегодня понедельник, завтра вторник, а послезавтра будет среда.","1. I will work today and rest tomorrow. 2. It is Monday today, tomorrow it will be Tuesday, and the day after tomorrow it will be Wednesday.",501,0,0,check,
963,962,ПОСЛЕЗАВТРА,DAY-AFTER-TOMORROW,14,,n,1179,"День, следующий за завтрашним днём.",The day that follows tomorrow.,"1. Завтра я отдохну, а послезавтра опять буду работать. 2. Сегодня понедельник, завтра вторник, а послезавтра будет среда.","1. I will rest tomorrow and work again the day after tomorrow. 2. It is Monday today, tomorrow it will be Tuesday, and the day after tomorrow it will be Wednesday.",0,0,0,final,
964,963,ВЧЕРА,YESTERDAY,14,,n,1174,"День, предшествующий сегодняшнему. Не вводить слова, использующие в качестве точки отсчёта любой другой день кроме сегодняшнего (ср. рус. накануне, фр. la veille). (CoBL)","Term used for the day before today, e.g. French hier. Not 'the day before' any other day as point of reference, e.g. French la veille, etc. (CoBL)","1. Сегодня я его не видел, но видел вчера. (CoBL) 2. Сегодня среда, вчера был вторник, позавчера — понедельник.","1. I havent’ seen him today but I have seen him yesterday. 2. It is Wednesday today, yesterday it was Tuesday, the day before yesterday it was Monday.",500,212,0,final,
965,964,ПОЗАВЧЕРА,DAY-BEFORE-YESTERDAY,14,,n,1180,"День, предшествующий вчерашнему.",The day preceding yesterday.,"1. Позавчера я отдыхал, вчера я работал. 2. Сегодня среда, вчера был вторник, позавчера — понедельник.","1. I rested the day before yesterday but yesterday I worked. 2. It is Wednesday today, yesterday it was Tuesday, the day before yesterday it was Monday.",0,0,0,final,
966,965,ЧАС,HOUR,14,,n,1353,"Период времени, длящийся 60 минут; 1/24 часть суток. (Concepticon)",A time period of sixty minutes; one twenty-fourth of a day. (Concepticon),Он может за час подковать лошадь.,He can shoe a horse in an hour.,0,0,0,check,
967,966,НЕДЕЛЯ,WEEK,14,,n,1469,Период времени длиною в семь дней. (Concepticon),A period of seven days. (Concepticon),В месяце около четырёх недель.,There are around 4 weeks in a month.,0,0,0,check,
968,967,МЕСЯЦ,MONTH,14,,n,1370,"Основная единица времени, делящая год на периоды. Традиционно связан с фазами луны.",The main unit of time dividing the year into intervals. Traditionally related to phases of the moon.,1. В месяце около четырёх недель. 2. В году 12 месяцев.,1. There are around 4 weeks in a month. 2. There are 12 months in a year.,0,0,0,final,
969,968,ГОД,YEAR,14,,n,1226,Время полного оборота Земли вокруг своей оси; около 365 дней. Далее см. CoBL.,"Should be distinguished from adverbial forms (‘annually’, ‘all the year round’, etc.); from specific nominal or adverbial designations of particular time periods (‘this year’, ‘past year’, etc.); from special terms for half-years or seasons; from ‘year’ as an age marker (‘he is five years old’, etc.). If the language has no common term for ‘year’ whatsoever, the slot should remain empty. (Kassian et al. 2010) Singular rather than plural form, preferably nominative. Avoid terms which refer specifically to the duration of the year taken as a whole, such as French année rather than basic an. Avoid terms specifically for counting years. (CoBL)",1. Первый месяц в году называется [X]. (GLD)  2. Сколько месяцев в году? (GLD),1. The first month of the year is called [X]. (GLD)  2. How many months are there in a year? (GLD),447,206,110,final,
970,969,ПРОШЛЫЙ ГОД,LAST YEAR,14,,n,514,"Год, предшествующий текущему. Существительное или наречие.",The year that preceeds the current year. Noun or adverb.,"В прошлом году мы собрали больше пшеницы, чем в этом.",We harvested more grain last year than this year.,0,0,0,final,
971,970,СЛЕДУЮЩИЙ ГОД,NEXT YEAR,14,,n,515,"Год, следующий за текущим. Существительное или наречие.",The year that follows the current year. Noun or adverb.,"Надеюсь, что в следующем году летом будет больше дождей.",I hope that next year there will be more rains in the summer.,0,0,0,final,
972,971,ЗИМА,WINTER,14,,n,1471,"Время года, основной признак которого — устойчиво низкая температура, длинные ночи и короткие дни.","The time of the year which is characterized by stable cold weather, short days and long nights.","1. Зимой холодно, летом жарко. 2. Зимой бывает снег. 3. Наступила зима, ночи стали длиннее.",1. It is colder in winter than in summer. 2. Sometimes it snows in winter. 3. Winter has come and nights have become longer.,451,0,0,final,
973,972,ВЕСНА,SPRING,14,,n,1537,"Время года, представляющее собой переход между зимой и летом.",The time of the year that is the transition from winter to summer.,1. Весной на деревьях появляются листья. 2. Весной сеют Х.,1. In spring leaves appear on the trees. 2. In spring we sow X.,448,0,0,final,
974,973,ЛЕТО,SUMMER,14,,n,1342,"Время года, которое характеризуется максимальной температурой в году.",The time of the year that is characterized by the highest temperature during the whole year.,1. Летом косят сено. 2. Летом в селении жарко.,1. In summer hay is mown. 2. In summer it is hot in the village.,449,0,0,final,
975,974,ОСЕНЬ,AUTUMN,14,,n,1276,"Время года, представляющее собой переход между летом и зимой.",The time of the year that is the transition from summer to winer.,1. Осенью падают листья. 2. Осенью собирают урожай.,1. Leaves fall down in autumn. 2. Harvest is in autumn.,450,0,0,final,
976,975,ПАХНУТЬ,SMELL (INTR),15,,v,1587,"Источать запах. Об объекте, не о помещении или месте.","To emit a smell. Of an object, not a room or location.",Цветы хорошо пахнут.,Flowers smell good.,0,0,0,final,
977,976,НЮХАТЬ,SMELL (TR),15,,v,1586,"В соответствии с дефиницей CoBL, необходимо использовать глагол пассивного, а не активного восприятия запаха (‘чуять’, не ‘нюхать’); русский перевод выбран условно, т.к. в русском языке нет простого нейтрального глагола с таким значением (<i>чуять</i> преимущественно используется о животных). Русское соответствие для этого глагола — <i>чувствовать запах</i>.","Perceiving an odour, by a human, through the nose. Not emitting an odour, smelling of something, e.g. by a flower. So not as in “the food smells good”. The transitive verb (form) used where the subject of the verb is the person who perceives the odour, while that odour, or the substance or thing emitting it, is the object. Some languages (e.g. Slavic) have different verbs where the human subject is either the experiencer or agent of ‘smell’ (the same contrast that English itself has for other perception meanings such as ‘see’ vs. ‘look’, ‘hear’ vs. ‘listen’). In such languages, select the verb form where the human subject is experiencer, not agent, who perceives the odour passively, not actively and intentionally ‘sniffing’ for it. So not as in “she knelt down and smelt the flowers”.",1. Я чувствую / чую запах дыма. (CoBL) 2. Волк почуял запах человека.,1. I (can) smell smoke. (CoBL) 2. The wolf smelt human smell.,202,148,0,final,
978,977,ЗАПАХ,SMELL,15,,n,0,"Ощущение, воспринимаемое носом. Указывать самое нейтральное слово.",The specific feeling that is perceived by the nose. Aim for the most neutral word.,В этой комнате приятный запах.,There is a pleasant smell in this room.,0,0,0,final,
979,978,ВОНЬ,STENCH,15,,n,42,Неприятный запах.,An unpleasant well.,В хлеву вонь.,There is a stench in the cattle shed.,0,0,0,final,
980,979,ПРОБОВАТЬ (НА ВКУС),TASTE,15,,v,21,"Съесть немного еды, чтобы узнать, какие ощущения она вызывает.",Eat a bit of food in order to determine what kinds of feeling it produces.,"1. Ребёнок попробовал кашу, но отказался её есть. 2. Хозяйка пробует суп, когда его готовит.","1. The child tasted the porridge, but refused to eat it. 2. The housewife is tasting the soup as she is cooking it.",0,0,0,final,
981,980,СЛАДКИЙ,SWEET,15,,n,717,"Самое общее прилагательное, описывающее вкус мёда или сахара. Избегать образных или эмоциональных слов, например, тех, что описывают людей. (CoBL) ","Most generic adjective describing the taste of honey or sugar.  Avoid figurative and emotional terms, such as those describing people. (CoBL)","1. Сахар сладкий, соль — нет. 2. Яблоко сладкое, лимон кислый.","1. Sugar is sweet, salt is not. 2. Apples are sweet, lemon are sour.",516,217,0,final,
982,981,СОЛЕНЫЙ,SALTY,15,,n,1091,"Имеющий вкус соли и содержащий её. Если в значениях ‘содержащий соль’ и ‘приготовленный при помощи засаливания’ используются разные прилагательные, выбирать первое в качестве основного.","Having a taste of and containing salt. If ‘containing salt’ and ‘prepared by salting’ are expressed by different words, select the former as the main entry.","1. Этот суп очень солёный, его трудно есть. 2. Солёное мясо долго хранится.","1. This soup is very salty, it is hard to eat. 2. Salted meet can be stored for a long time.",0,0,0,final,
983,982,ГОРЬКИЙ,BITTER,15,,n,887,"Имеющее едкий привкус, такой, как привкус пива. (Concepticon, изм.)","Having an acrid taste, such as the taste of beer. (Concepticon, mod.)",1. У этого растения горький сок. 2. Пиво горькое.,1. This plant has a bitter sap. 2. Beer is bitter.,514,215,0,final,
984,983,КИСЛЫЙ,SOUR,15,,n,1906,"Имеющее кислотный вкус, такой, как вкус лимона.","Having an acid flavour, such as the flavour of a lemon.",Лимон кислый.,Lemons are bitter.,515,0,0,final,
985,984,СЛЫШАТЬ,HEAR,15,,v,1408,"Самый общий непереходный глагол для пассивного восприятия ухом. Избегать активных слов, например, ‘слушать’. (CoBL)","Most generic transitive verb for perceiving something passively with the ear. Avoid active terms, e.g. “listen”. (CoBL)","1. Ты тихо говоришь, я тебя не слышу. 2. Я неожиданно услышал выстрел.","1. You speak too quietly, I cannot hear you. 2. Suddenly I heard a shot.",198,72,39,final,
986,985,СЛУШАТЬ,LISTEN,15,,v,1608,Активно воспринимать ушами.,To perceive actively by ear.,1. Он слушает громкую музыку. 2. Дети на уроке слушают учителя.,1. He is listening to loud music. 2. Children at the lesson are listening to the teacher.,199,0,0,final,
987,986,ГОЛОС,VOICE,15,,n,1811,"Звук, который люди производят при помощи голосовых связок. (Concepticon) Предпочтительные слова, относящиеся к конкретному набору звуков, а не к тембру голоса отдельного человека.",The sound and tones human beings are able to produce with the vocal cords. (Concepticon) Prefer words that refer to a specific sound rather than a general characteristic of a person’s manner of speaking or singing.,1. Я слышу на улице его голос. 2. Он услышал громкий голос.,1. I hear his voice in the street. 2. He heard a loud voice.,460,0,0,final,
988,987,ГРОМКИЙ,LOUD,15,,n,377,"Имеющий высокую громкость. (Concepticon, изм.)","(Of a sound) having a high volume. (Concepticon, mod.)",1. Он услышал громкий голос. 2. От громкой музыки у меня болят уши.,1. He heard a loud voice. 2. My ears ache due to loud music.,0,0,0,final,
989,988,ТИХИЙ,QUIET,15,,n,1314,Имеющий низкую громкость.,(Of a sound) having a low volume.,"1. У него тихий голос, я плохо его слышу. 2. Сделай музыку тише.","1. He has a quiet voice, I cannot hear him. 2. Make the music quieter.",0,0,0,final,
990,989,ВИДЕТЬ,SEE,15,,v,1409,"Основное обозначение дуративного процесса восприятия. Не следует смешивать с намеренным действием (‘смотреть’), а также с различными инхоативами или пунктивами (‘взглянуть’, ‘заметить’ и т. п.). (GLD)","Durative process of perception. Should not be confused with intentional action (‘to look’) or various inchoative or punctive verbs (‘glance’, ‘notice’ etc.). (GLD)","1. Темно, я тебя не вижу. (GLD) 2. Я вижу зверя. (GLD)","1. It is dark, I do not see you. (GLD) 2. I see the animal. (GLD)",200,137,73,final,
991,990,СМОТРЕТЬ,LOOK,15,,v,1819,Активно воспринимать при помощи зрения.,"To actively perceive by vision, eyes.",1. Он посмотрел направо. 2. Посмотри на меня!,1. He looked at his right. 2. Look at me!,201,0,0,final,
992,991,БЕЛЫЙ,WHITE,15,,n,1335,"[Карточка RGB 255:255:255. Естественный цвет снега, бумаги, зубов у маленьких детей и т. п.]. (GLD)","[As on the RGB 255:255:255 card. The natural color of snow, paper, babies’ teeth etc.] (GLD)",1. На небе белое облако. (CoBL) 2. На земле лежит белый снег.,1. There is a white cloud in the sky. (CoBL) 2. White snow is on the ground.,507,194,96,final,
993,992,ЧЁРНЫЙ,BLACK,15,,n,163,"[Карточка RGB 0:0:0]. Естественный цвет-антоним белого. Избегать слов со значением тёмный (без солнечного света) или грязный. Избегать слов, ограниченных переносными значениями, такими как мрачный. (CoBL)","[As on the RGB 0:0:0 card.] The natural colour seen as the antonym of white. Avoid terms meaning dark (absence of daylight) or dirty. Avoid terms limited to figurative senses such as bleak, depressing. (CoBL)",1. Вдовы носят чёрные платья. 2. Ночью небо чёрное.,1. Widows wear black dresses. 2. At night the sky is black.,508,14,8,final,
994,993,КРАСНЫЙ,RED,15,,n,156,"[Цвет артериальной крови, текущей из раны. Карточка RGB 255:0:0 и несколько оттенков]. (GLD)",[As on the RGB 255:0:0 and similar cards. The natural color of arterial blood from a fresh wound.] (GLD),Кровь красная.,Blood is red.,511,122,67,final,
995,994,СИНИЙ,BLUE,15,,n,837,Цвет дневного неба.,The colour of the sky as seen during the day.,Небо синее.,The sky is blue.,513,0,0,final,
996,995,ЗЕЛЁНЫЙ,GREEN,15,,n,1425,[Карточка RGB 0:255:0 и близкие к ней. Цвет молодой свежей травы.]  (GLD),"[As on the RGB 0:255:0 and similar cards. The natural color of fresh, newly sprung grass.] (GLD)",Трава зелёная.,Grass is green.,512,66,35,final,
997,996,ЖЁЛТЫЙ,YELLOW,15,,n,1424,"Естественный цвет яичного желтка. Избегать слов, специально описывающих цвет золота. Избегать особых терминов для цвета волос. (CoBL)",The natural color of egg yolk. Avoid terms specifically describing gold. Avoid terms specificially for hair colour. (CoBL),Желток жёлтого цвета. (CoBL),Egg yolk is yellow. (CoBL),510,207,99,final,
998,997,СЕРЫЙ,GREY,15,,n,153,"Имеющий цвет между чёрным и белым, как пепел и камень. (Concepticon) ","Having a colour between black and white, like ash or stone. (Concepticon)","1. Зола серая, уголь чёрный. 2. Камни серые.","1. Ash is grey, coal is black. 2. Stones are grey.",509,0,0,final,
999,998,ТРОГАТЬ,TOUCH,15,,v,1892,Вступать в физический контакт с предметом при помощи руки.,To come into physical contact with an object using the hand.,1. Не трогай горячие угли! 2. Не трогай кончик ножа.,1. Don’t touch hot embers! 2. Don’t touch the end of the knife.,90,0,0,final,
1000,1000,МЯГКИЙ,SOFT,15,,n,1856,Легко поддающийся деформации при нажатии.,Easily deformed upon touch.,"1. Это мясо мягкое, его легко жевать. 2. Пол твёрдый, ковёр мягкий.","1. This meat is soft, it is easy to chew. 2. The floor is hard, the carpet is soft.",549,0,0,final,
1001,1001,ТВЁРДЫЙ,HARD,15,,n,,"Самое общее прилагательное, относящееся к сопротивлению твёрдой материи силе нажатия. Антоним понятия МЯГКИЙ. Избегать слов со значением ‘твёрдый’. (CoBL)",Most generic adjective referring to the resistance of solid matter to compressive force. Antonym of SOFT. Avoid terms for “difficult”. (CoBL),"1. Еда была очень жёсткой. Когда он её укусил, он сломал зуб. (CoBL) 2. Пол твёрдый, ковёр мягкий.","1. It was very hard. When he bit it he broke his tooth. (CoBL) 2. The floor is hard, the carpet is soft.",550,216,0,final,
1002,1002,ГЛАДКИЙ,SMOOTH,15,,n,1234,"Самое общее прилагательное для однородной, плоской, упругой поверхности объекта, лишённой трения, по которой легко провести рукой. Антоним шершавого (CoBL) ","Most generic adjective for the even, flat, stiff surface of an object, lacking friction, which the hand can easily move over. Antonym of rough. (CoBL)","1. Он взял гладкий камешек с берега реки. (CoBL) 2. Эта доска гладкая, а эта — шершавая.","1. He picked a smooth stone from the river. (CoBL) 2. This plank is smooth, this one is rough.",0,150,0,final,
1003,1003,ОСТРЫЙ,SHARP,15,,n,1396,"Антоним понятия ТУПОЙ. Базовое слово, как правило, адъективное, относящееся к хорошей способности резать ножа или другого режущего предмета. Избегать слов, относящихся к остроте интеллекта. Избегать перцептивных терминов для вкуса, боли, зрения и т.д. (CoBL)","Antonym of “blunt/dull”. Basic term, typically adjectival, referring to the good cutting ability of a knife or other cutting object. Avoid terms specifically for keenness of intelligence. Avoid perceptual terms for taste, pain, vision etc. (CoBL)","Острый нож режет лучше, чем тупой. (CoBL)",A sharp knife cuts better than a blunt one. (CoBL),0,140,0,final,
1004,1004,ТУПОЙ,BLUNT,15,,n,379,Антоним понятия ОСТРЫЙ. Имеющий плоский конец.,The antonym of SHARP. Having a flat edge.,"Нож острый, молоток тупой.","The knife is sharp, the hammer is blunt.",0,0,0,final,
1005,1005,ГУСТОЙ,DENSE,15,,n,2239,"О жидкостях, имеющий плотную консистенцию.","Of liquids, having a thick makeup.",Густой бульон быстро насыщает.,A dense broth satiates quickly.,543,0,0,final,
1006,1006,ЖИДКИЙ,WATERY,15,,n,0,"О жидкостях, имеющий водянистую консистенцию.","Of liquids, having a watery makeup.",Детям дают жидкий бульон.,Children are given watery broth.,544,0,0,final,
1007,1007,ТЯЖЁЛЫЙ,HEAVY,15,,n,1210,"О физическом объекте, имеющий большой вес. (Concepticon)","Of a physical object, having great weight. (Concepticon)","1. Он несет тяжелый груз, а у меня легкий груз. (GLD) 2. Этот камень слишком тяжелый. (GLD)","1. He is carrying a heavy load, but my load is light. (GLD) 2. This stone is too heavy. (GLD)",529,74,102,final,
1008,1008,ЛЁГКИЙ,LIGHT (IN WEIGHT),15,,n,1052,"О физическом объекте, имеющий маленький вес.","Of a physical object, having little weight.","1. Он несет тяжелый груз, а у меня легкий груз. (GLD) 2. Деревянная ложка легче железной.","1. He is carrying a heavy load, but my load is light. (GLD) 2. A wooden spoon is lighter than a metal one.",530,0,0,final,
1009,1009,МОКРЫЙ,WET,15,,n,1726,"Самое общее прилагательное, описывающее наличие воды, а не только влажности. Наличие воды в материале насквозь, не только на поверхности. Антоним понятия СУХОЙ. Избегать слов, относящихся специально к изменению состояния. Избегать интенсивных значений. Избегать специальных обозначений влажности воздуха. (CoBL) ","Most generic adjective describing presence of water, not merely moisture or humidity. Presence of water throughout a material, not just surface moisture. Antonym of “dry”. Avoid terms specifically for change of state. Avoid intensive meanings, e.g. “soaked”. Avoid terms specifically for humidity in the air. (CoBL)","1. Эта рубашка мокрая, сними её. 2. Этот камень мокрый, не сиди на нём. 3. Мокрая спичка не загорится, сухая загорится.","1. This shirt is wet, take it off. 2. This stone is wet, do not sit on it. 3. A wet match will not burn, a dry one will.",542,190,0,final,
1010,1010,СУХОЙ,DRY,15,,n,1398,"(Почти) лишённый жидкости и влажности. Антоним ‘мокрого’, сочетающийся с максимальным количеством различных видов объектов. Отличать от специализированных терминов (сушеный, иссушенный, обезвоженный и т. п.).","(Almost) free from liquid or moisture. Antonym of ‘wet’, applicable to as many different types of objects as possible (to be separated from specialized terms like dessicated, dehydrated etc.).  ","1. Мокрая спичка не загорится, а сухая загорится. 2. На соседской крыше много сухой травы. 3. Моя одежда уже сухая, а его пока ещё мокрая.","1. A wet match will not burn, a dry one will. 2. There is a lot of dry grass on the neighbour’s roof. 3. My clothes are already dry, but his are still wet.",541,33,19,final,
1011,1011,ГОРЯЧИЙ,HOT,15,,n,1286,Имеющий очень высокую температуру. (Concepticon) Далее см.: https://github.com/lingdb/CoBL-public/wiki/Meaning:-hot,Having a very high temperature. (Concepticon) See further https://github.com/lingdb/CoBL-public/wiki/Meaning:-hot,"1. Если взяться за горячую сковородку, можно обжечься. 2. На солнце камень стал горячим.","1. If you take a hot pan, you can burn yourself. 2. The stone became hot under the sun.",0,186,0,final,
1012,1012,ТЁПЛЫЙ,WARM,15,,n,1232,"‘Теплый’ следует понимать как ‘температура слегка выше нормы’, с позитивными коннотациями. (GLD)","‘Warm’ can be understood as ‘having a temperature slightly above the norm’, with a generally positive connotation. (GLD)","1. Эта вода не горячая и не холодная, она теплая. (GLD) 2. Дует теплый ветер. (GLD)","1. The water is warm, not too hot and not too cold. (GLD) 2. A warm wind is blowing. (GLD)",551,0,92,final,
1013,1013,ХОЛОДНЫЙ,COLD,15,,n,1287,Имеющий низкую температуру. (Concepticon) Далее см. https://github.com/lingdb/CoBL-public/wiki/Meaning:-cold,Having a low temperature. (Concepticon) See further https://github.com/lingdb/CoBL-public/wiki/Meaning:-cold,"1. Эта вода слишком холодная. (GLD) 2. Я не знаю, этот камень холодный или он успел нагреться на солнце. (GLD) 3. Лёд холодный.",1. The water is too cold. (GLD) 2. I do not know if this stone is still cold or whether it already got hot in the sun. (GLD) 3. Ice is cold.,552,23,14,final,
1014,1014,ЧИСТЫЙ,CLEAN,15,,n,704,Не имеющий пятен или иных следов грязи. Антоним понятия ГРЯЗНЫЙ.,Having no stains or other signs of dirt. The antonym of DIRTY.,"1. Эта рубашка чистая, не надо её стирать. 2. Если у тебя чистые руки, садись за стол.","1. This shirt is clean, it doesn’t need to be washed. 2. If your hands are clean, come to the table.",546,0,0,final,
1015,1015,ГРЯЗНЫЙ,DIRTY,15,,n,1230,"Покрытый грязью, не чистый.",Covered with or containing unpleasant substances such as dirt or grime.,1. Помой грязную посуду 2. У тебя грязные руки.,1. Wash the dirty dishes. 2. Your hands are dirty.,545,30,0,final,
1016,1016,СМЕЯТЬСЯ,LAUGH,16,,v,1355,"Самый общий непереходный глагол для устного, невербального выражения удовольствия и т.д., обычно сопровождающегося характерным звуком. Избегать слов со значением УЛЫБАТЬСЯ. (CoBL)","Most generic intransitive verb for the oral, non-verbal, expression of pleasure etc., typically accompanied by a chuckling sound. Avoid terms for SMILE. (CoBL)","1. Когда человеку хорошо, он смеётся; когда плохо — плачет. 2. Дети часто смеются.","1. When a man feels good, he laughs; when he feels bad, he cries. 2. Children often laugh.",192,90,0,final,
1017,1017,УЛЫБАТЬСЯ,SMILE,16,,v,1451,"Совершать движение вверх углами губ, демонстрируя радость или удовлетворение. (Concepticon) ","To make an upwards movement of the sides of the mouth, that indicates happiness or satisfaction. (Concepticon)","1. Сегодня младенец первый раз улыбнулся. 2. Он улыбнулся, но ничего не сказал.","1. The baby smiled for the first time today. 2. He smiled, but didn’t say anything.",0,0,0,final,
1018,1018,РАДОВАТЬСЯ,REJOICE,16,,v,2192,Испытывать положительные эмоции от какой-либо ситуации.,To feel positive emotions due to some situation.,"1. Я обрадовался, когда ты пришёл. 2. Я радуюсь, когда бывает хорошая погода.",1. I felt joy when you came. 2. I rejoice when the weather is fine.,206,0,0,check,
1019,1019,ИГРАТЬ,PLAY (TR),16,,v,1413,"Самый общий глагол, чаще переходный, обозначающий участие в конкретной игре с целью развлечения. Далее см. CoBL.","Most generic verb, typically transitive, for engaging in a specific game, for the purpose of amusement. Select the transitive verb form, i.e. where followed by the word 'game' or the name of a game. Avoid intransitive/middle/reflexive forms just for amusing oneself without a specific structured game, such as 'have fun', French 's'amuser', etc.. Avoid terms that specifically imply competition, rather than non-serious amusement. Avoid the meaning of playing a musical instrument. (CoBL)",1. На улице дети играют в футбол. 2. Я поиграл с сыном в шахматы.,1. Children are playing football outside. 2. I played cheese with my son.,0,118,0,final,
1020,1020,ПРОИГРЫВАТЬ,LOSE,16,,v,1660,Не стать победителем в игре или ином состязании.,Not to become a victor in a game or another competition.,"1. Я проиграл ему в шахматы. 2. Во Второй мировой войне СССР победил, Германия проиграла.","1. I lost to him in a chess game. 2. The USSR won World War II, and Germany lost.",20,0,0,final,different words for games and wars?
1021,1021,ВЫИГРЫВАТЬ,WIN,16,,v,866,Стать победителем в игре или ином состязании.,To become a victor in a game or another competition.,"1. Я выиграл у него  в шахматы. 2. Во Второй мировой войне СССР победил, Германия проиграла.","1. I won over him in a chess game. 2. The USSR won World War II, and Germany lost.",21,0,0,final,different words for games and wars?
1022,1022,ЛЮБИТЬ,LOVE,16,,v,923,Испытывать сильное чувство привязанности и заботы к человеку. (Concepticon),To have an intense feeling of affection and care towards another person. (Concepticon),1. Мой дед очень любил мою бабушку. 2. Сын любит свою мать.,1. My grandfather loved my grandmother a lot. 2. The son loves his mother.,0,0,0,final,
1023,1023,ХОТЕТЬ,WANT,16,,v,1784,Желать осуществления ситуации.,To wish that a situation be true.,Он хочет поехать в город.,He wants to go to the city.,203,0,0,final,
1024,1024,ЦЕЛОВАТЬ,KISS,16,,v,578,Приказаться губами в знак любви или привязанности. (Concepticon),To touch with the lips to express love or affection. (Concepticon),Мама поцеловала ребёнка.,Mother kissed the child.,177,0,0,final,
1025,1025,ОБНИМАТЬ,EMBRACE,16,,v,928,"Сжимать кого-л., обхватывая руками. (Concepticon)",To squeeze someone in one's arms. (Concepticon),Мама обняла ребёнка.,Mother embraced the child.,0,0,0,final,
1026,1026,ПЛАКАТЬ,WEEP,16,,v,1839,Проливать слёзы под действием эмоции. (Concepticon),To shed tears due to the impact of an emotion. (Concepticon),"1. У неё на глазах слёзы: она плакала. 2. Когда умер его отец, он плакал несколько дней.","1. She has tears on her eyes: she has been crying. 2. When his father died, he cried for a whole day.",190,223,0,final,
1027,1027,ВСХЛИПЫВАТЬ,SOB,16,,v,,Плакать с конвульсивными вздохами. (Wiktionary),To cry with convulsive gasps. (Wiktionary),1. От сильного горя она всхлипывала. 2. Ребёнок всхлипнул от боли.,1. She sobbed due to a strong grief. 2. The child sobbed because of pain.,191,0,0,final,
1028,1028,СЛЕЗА,TEAR (N),16,,n,1651,"Капля жидкости, производимая глазом от печали или раздражения. (Concepticon)",A drop of liquid produced from the eyes by crying or irritation. (Concepticon),1. После плача у неё слёзы на глазах. 2. Из глаз пошли слёзы из-за пыли.,1. She has tears in her eyes after crying. 2. Tears came out of his eyes due to dust.,93,0,0,final,
1029,1029,ВЫДЕЛЕНИЯ ИЗ ГЛАЗ,EYE FLUID,16,,n,0,"Любые слизистые выделения из глаз (гной, слизь и т.д.).","Any kind of mucus secretion in the eye (mucus, pus, etc.).",Утром ему трудно открыть глаза из-за ВЫДЕЛЕНИЙ ИЗ ГЛАЗ.,He has trouble opening his eyes in the morning due to EYE FLUID.,92,0,0,final,
